Comment,Designator,Footprint,LCSC
TPS613222ADBV,U1,SOT-23-5,
1000pF,C2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
USB,USB1,USB_A_TE_292303-7_Horizontal,
500mA,F1,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
22uF,C3.3,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
2.2uH,L1,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,
10uF,C1.2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
10uF,C1.1,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
Bus_M.2_Socket_B,J1,M.2-2242-B+M-KEY_USB-ONLY,
100nF,C3.1,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
10uF,C3.2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
D_Schottky,D1,D_SOD-323,
5,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
10uF,C1.3,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
3V3,TP2,TestPoint_Pad_D1.0mm,
D+,TP4,TestPoint_Pad_D1.0mm,
D-,TP5,TestPoint_Pad_D1.0mm,
GND,TP1,TestPoint_Pad_D1.0mm,
5V,TP3,TestPoint_Pad_D1.0mm,
