Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1.1,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,18.6,4.6,0.0,top
C1.2,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,19.0,5.7,0.0,top
C1.3,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,19.0,6.8,0.0,top
C2,1000pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,16.6,6.8,0.0,top
C3.1,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,3.0,6.3,180.0,top
C3.2,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,3.0,7.4,180.0,top
C3.3,22uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,3.0,8.5,180.0,top
D1,D_Schottky,D_SOD-323,14.7,5.1,180.0,top
F1,500mA,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2.4,4.9,0.0,top
J1,Bus_M.2_Socket_B,M.2-2242-B+M-KEY_USB-ONLY,11.0,-0.0,0.0,top
L1,2.2uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,6.4,5.7,0.0,top
R1,5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,14.2,6.8,0.0,top
U1,TPS613222ADBV,SOT-23-5,10.8,5.9,0.0,top
USB1,USB,USB_A_TE_292303-7_Horizontal,11.0,16.5,180.0,top
